cluster,user_pseudo_id,product_id_name,product_category_list,product_category_2_list,recency,frequency,monetary
2,1798796096.1707463,"{'8905724373435': 'Riddle Me Black Blouson Top', ' 8905724376061': ' Keeping It Boho top'}",['Tops'],['All Clothing'],73,5,8330.0
2,1798796096.1707463,"{'8905724374333': 'Gulabo kurta', ' 8905724369469': ' Go-With-The-Flow Kurta'}",['Kurtas'],['Kurtas &amp; Kurta Sets'],73,5,8330.0
0,286868711.1712832,{'8905134633761': 'Dark Green Solid Straight Jumpsuit'},['Jumpsuits'],['All Clothing'],51,1,1495.0
1,302950990.17093587,"{'8905134633761': 'Dark Green Solid Straight Jumpsuit', ' 8905724410239': ' Ikat Inspired Cotton Short Dress'}","['Dresses', ' Jumpsuits']",['All Clothing'],92,1,3726.0
1,1790402719.1709785,"{'8905134633778': 'Solid Straight Bottom', ' 8905134828228': ' Dark Green Solid Straight Jumpsuit', ' 8905724390548': ' Cassata Dhoti Pant Set'}","['Jumpsuits', ' Bottoms', ' Women']","['All Clothing', ' End of Season Sale']",87,2,1635.0
1,1790402719.1709785,{'8907641565306': 'Suhani Straight Co-ords Set'},['Co-ords'],['All Clothing'],87,2,1635.0
1,628628386.1696479,"{'8905134633785': 'Dark Green Solid Straight Jumpsuit', ' 8905134640363': ' Dark Pink Solid Straight Bottom'}","['Jumpsuits', ' Bottoms']",['All Clothing'],99,2,4345.0
1,628628386.1696479,{'8905724361814': 'Gulbahar Tiered Maxi Dress\u200b'},['Dresses'],['All Clothing'],99,2,4345.0
0,1720276453.171173,"{'8905134633877': 'Abstract Floral Print Viscose Top', ' 8905724517495': ' Pink Tie & Dye Asymmetric Top', ' 8905724574597': ' Pink Ethnic Motifs Flared Suit', ' 8905134851462': ' Pink Embroidered Cotton Kurta Set', ' 8905724410109': ' Bahara White Kurta', ' 8905724410703': ' Ethnic Motif Printed Black Viscose Kurta'}","['Kurtas &amp; Kurta Sets', ' Kurtas', ' Tops', ' Kurta Sets']","['Kurtas &amp; Kurta Sets', ' All Clothing']",65,1,284.0
0,363143418.17109567,"{'8905134633884': 'Pink Tie & Dye Asymmetric Top', ' 8905134636700': ' Black Geometric Curved Top', ' 8905724373480': ' The Queen Bee Dress'}","['Dresses', ' Tops']",['All Clothing'],71,1,2895.0
3,862571229.1699638,"{'8905134634010': 'Ethnic Motif Printed Black Viscose Kurta', ' 8905724574610': ' Mustard Floral Embellished Suit'}","['Kurta Sets', ' Kurtas']",['Kurtas &amp; Kurta Sets'],63,2,8490.0
3,862571229.1699638,{'8905134849889': 'Pink Floral Flared Suit'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],63,2,8490.0
0,1613718966.1709864,{'8905134634058': 'Aqua Floral Flared Dress'},['Dresses'],['All Clothing'],78,1,1550.0
0,1248315952.1711895,{'8905134634058': 'Aqua Floral Flared Dress'},['Dresses'],['All Clothing'],63,1,1550.0
1,1500673461.1701756,"{'8905134634065': 'Aqua Floral Flared Dress', ' 8905724173431': ' Pink Floral Flared Dress'}",['Dresses'],['All Clothing'],125,1,2530.0
1,602555406.1697252,"{'8905134634065': 'Aqua Floral Flared Dress', ' 8905724374203': ' Midnight Magic top'}","['Tops', ' Dresses']",['All Clothing'],115,1,2495.0
1,781181603.1707228,{'8905134634515': 'Teal Floral Embellished Suit'},['Kurta Sets'],['Kurtas &amp; Kurta Sets'],106,1,69.0
1,1540966941.1706982,"{'8905134634904': 'Indigo Floral Straight Kurta', ' 8905724372469': ' Indigo Geometric Curved Dress', ' 8905134634669': ' Black Geometric Curved Gown', ' 8905134636229': ' Charge Up The Style Co-Ord Set'}","['(not set)', ' Kurtas', ' Dresses', ' Co-ords']","['(not set)', ' Kurtas &amp; Kurta Sets', ' All Clothing']",119,1,137.0
0,1310022534.1711004,{'8905134634911': 'Indigo Floral Straight Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],73,1,1500.0
1,1878106356.1700227,{'8905134634911': 'Indigo Floral Straight Kurta'},['Kurtas'],['Kurtas &amp; Kurta Sets'],93,2,3190.0
1,1878106356.1700227,"{'8905724197185': 'Solid Straight Bottom', ' 8905134828877': ' Yellow Floral Gathered Jumpsuit'}","['Bottoms', ' Jumpsuits']",['All Clothing'],93,2,3190.0
0,1613553147.1711383,{'8905134635185': 'Green Floral Flared Dress'},['Dresses'],['All Clothing'],69,1,1500.0
